product_id,product_name,category,subcategory,brand,cost_price,selling_price,discount_percent,discounted_price,currency,stock_quantity,in_stock,low_stock_alert,avg_rating,num_ratings,num_reviews,weight_kg,dimensions,condition,warranty_months,manufacturer,country_of_origin,product_added_date,last_updated_date,is_featured,is_bestseller,free_shipping,returnable,return_window_days,tags,sku,barcode,supplier_id,reorder_level,max_order_quantity
PROD-93810,H&M Sharable bifurcated algorithm Mens Wear,clothing,mens_wear,H&M,2306,3178.98,15,2702.13,INR,15,True,False,3.4,4149,914,11.27,93x99x39 cm,new,0,H&M,Saint Vincent and the Grenadines,2024-08-27,2024-11-10,False,False,True,True,30,"clothing,mens_wear,H&M,on_sale,new_arrival",SKU-948749,4332181960016,SUP-1106,10,10
PROD-65392,Maybelline Extended discrete middleware Haircare,beauty,haircare,Maybelline,1913,3760.52,5,3572.49,INR,34,True,False,3.5,365,89,10.77,58x20x40 cm,new,0,Maybelline,Netherlands,2024-02-25,2024-05-14,False,False,True,True,30,"beauty,haircare,Maybelline,on_sale,new_arrival",SKU-705397,0838637940266,SUP-4150,10,5
PROD-16006,Nike Mandatory even-keeled collaboration Cycling,sports,cycling,Nike,8128,15387.82,5,14618.43,INR,50,True,False,3.4,2197,528,13.7,19x87x45 cm,new,0,Nike,Cuba,2025-03-24,2025-04-13,False,False,True,True,30,"sports,cycling,Nike,on_sale,new_arrival",SKU-497887,5116155940780,SUP-5422,10,100
PROD-38785,Maybelline Decentralized homogeneous artificial intelligence Skincare,beauty,skincare,Maybelline,412,759.74,5,721.75,INR,340,True,False,4.3,3251,900,12.89,28x43x13 cm,new,0,Maybelline,Micronesia,2024-05-04,2024-07-11,False,False,True,True,30,"beauty,skincare,Maybelline,on_sale,new_arrival",SKU-883300,4959310341319,SUP-8019,10,100
PROD-62350,Maybelline Multi-tiered even-keeled knowledgebase Makeup,beauty,makeup,Maybelline,4324,6895.97,15,5861.57,INR,2,True,True,4.2,3162,557,19.92,77x42x40 cm,refurbished,0,Maybelline,North Macedonia,2025-11-18,2026-02-13,True,False,True,False,0,"beauty,makeup,Maybelline,on_sale",SKU-814825,5255341928321,SUP-9797,10,20
PROD-94012,Lakme Persistent homogeneous flexibility Skincare,beauty,skincare,Lakme,3711,4922.74,0,4922.74,INR,5,True,True,,0,0,17.42,48x91x37 cm,new,0,Lakme,Uzbekistan,2025-06-26,2025-08-12,True,False,True,True,30,"beauty,skincare,Lakme,new_arrival",SKU-665579,8350305641395,SUP-9689,10,5
PROD-88504,Loreal Universal foreground data-warehouse Fragrance,beauty,fragrance,Loreal,1066,2071.54,20,1657.23,INR,25,True,False,3.2,3991,1050,19.56,78x26x13 cm,new,0,Loreal,Palau,2024-05-16,2024-06-06,False,False,True,True,30,"beauty,fragrance,Loreal,on_sale,new_arrival",SKU-653306,7672423884968,SUP-7932,10,10
PROD-80686,Puma Reduced impactful hierarchy Cycling,sports,cycling,Puma,22509,38713.28,5,36777.62,INR,38,True,False,3.0,4547,663,4.48,19x100x45 cm,new,0,Puma,Cyprus,2025-09-21,2025-09-25,False,False,True,True,30,"sports,cycling,Puma,on_sale,new_arrival",SKU-174299,2871012269161,SUP-9423,10,10
PROD-46500,ITC Multi-tiered radical Local Area Network Snacks,grocery,snacks,ITC,320,569.18,20,455.34,INR,174,True,False,,0,0,3.89,22x94x32 cm,new,0,ITC,Marshall Islands,2024-10-05,2024-12-03,True,False,True,True,30,"grocery,snacks,ITC,on_sale,new_arrival",SKU-806073,4801845146276,SUP-2612,10,5
PROD-62772,Maybelline Adaptive uniform success Skincare,beauty,skincare,Maybelline,1719,2324.38,5,2208.16,INR,21,True,False,,0,0,1.6,80x22x8 cm,new,0,Maybelline,Estonia,2024-05-25,2024-05-26,True,False,True,True,30,"beauty,skincare,Maybelline,on_sale,new_arrival",SKU-890170,8281489325286,SUP-4872,10,10
